Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Test_Overall,Test_cloves,Test_cumin,Test_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],67.19,95.65,91.3,0.0,70.59,100.0,100.0,0.0,"[cumin.24c868eadb47.csv] cloves:0, cumin:6, oregano:0 → cumin (6 / 6) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:4, cumin:2, oregano:0 → cloves (4 / 6) ✅",0.833,-3.4,3.4
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",51.56,57.14,90.91,4.76,58.82,66.67,100.0,0.0,"[cumin.24c868eadb47.csv] cloves:0, cumin:6, oregano:0 → cumin (6 / 6) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:4, cumin:2, oregano:0 → cloves (4 / 6) ✅",0.833,-7.26,7.26
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",100.0,100.0,100.0,100.0,89.14,98.36,95.8,71.56,"[cumin.24c868eadb47.csv] cloves:0, cumin:118, oregano:2 → cumin (118 / 120) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:81, cumin:34, oregano:5 → cloves (81 / 120) ✅",0.829,10.86,10.86
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",99.93,100.0,99.8,100.0,92.86,95.9,93.28,88.99,"[cumin.24c868eadb47.csv] cloves:4, cumin:106, oregano:10 → cumin (106 / 120) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:92, cumin:22, oregano:6 → cloves (92 / 120) ✅",0.825,7.07,7.07
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",98.21,100.0,98.71,95.68,99.08,100.0,100.0,97.06,"[cumin.24c868eadb47.csv] cloves:0, cumin:36, oregano:1 → cumin (36 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:25, cumin:0, oregano:12 → cloves (25 / 37) ✅",0.824,-0.87,0.87
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],96.25,97.2,95.58,96.0,91.57,89.66,89.29,96.15,"[cumin.24c868eadb47.csv] cloves:0, cumin:28, oregano:1 → cumin (28 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:19, cumin:0, oregano:10 → cloves (19 / 29) ✅",0.81,4.68,4.68
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",96.88,100.0,90.0,100.0,100.0,100.0,100.0,100.0,"[cumin.24c868eadb47.csv] cloves:1, cumin:4, oregano:0 → cumin (4 / 5) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:4, cumin:1, oregano:0 → cloves (4 / 5) ✅",0.8,-3.12,3.12
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",87.5,57.14,93.33,100.0,100.0,100.0,100.0,100.0,"[cumin.24c868eadb47.csv] cloves:1, cumin:4, oregano:0 → cumin (4 / 5) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:4, cumin:1, oregano:0 → cloves (4 / 5) ✅",0.8,-12.5,12.5
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",['diff_data_like'],71.88,66.67,86.67,50.0,100.0,100.0,100.0,100.0,"[cumin.24c868eadb47.csv] cloves:0, cumin:5, oregano:0 → cumin (5 / 5) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:3, cumin:2, oregano:0 → cloves (3 / 5) ✅",0.8,-28.12,28.12
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],99.27,100.0,100.0,97.78,84.18,99.15,99.12,50.96,"[cumin.24c868eadb47.csv] cloves:2, cumin:113, oregano:0 → cumin (113 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:70, cumin:8, oregano:37 → cloves (70 / 115) ✅",0.796,15.09,15.09
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",98.12,96.26,99.11,99.01,74.7,93.1,100.0,26.92,"[cumin.24c868eadb47.csv] cloves:0, cumin:29, oregano:0 → cumin (29 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:17, cumin:0, oregano:12 → cloves (17 / 29) ✅",0.793,23.42,23.42
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",91.07,100.0,87.1,85.61,92.66,97.37,94.59,85.29,"[cumin.24c868eadb47.csv] cloves:0, cumin:37, oregano:0 → cumin (37 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:21, cumin:0, oregano:16 → cloves (21 / 37) ✅",0.784,-1.59,1.59
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],99.11,100.0,99.35,97.84,96.33,92.11,100.0,97.06,"[cumin.24c868eadb47.csv] cloves:0, cumin:36, oregano:1 → cumin (36 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:21, cumin:0, oregano:16 → cloves (21 / 37) ✅",0.77,2.78,2.78
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",96.88,98.33,100.0,92.06,100.0,100.0,100.0,100.0,"[cumin.24c868eadb47.csv] cloves:0, cumin:18, oregano:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:9, cumin:0, oregano:9 → cloves (9 / 18) ✅",0.75,-3.12,3.12
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],99.48,98.33,100.0,100.0,96.15,88.89,100.0,100.0,"[cumin.24c868eadb47.csv] cloves:0, cumin:18, oregano:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:9, cumin:0, oregano:9 → cloves (9 / 18) ✅",0.75,3.33,3.33
