Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_bodai,Train_chienan,Train_go,Train_reihai,Train_rendai,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
short_overlap_no_benzene,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],90.26,93.03,89.79,92.96,98.04,77.76,,-999,90.26,90.26
medium_overlap_first_6,30,15,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],90.32,93.07,91.92,86.91,91.5,88.06,,-999,90.32,90.32
no_overlap_short_first_4,20,20,"[0, 1, 2, 3]",['standard_scaler'],91.02,75.69,96.05,90.2,94.9,96.91,,-999,91.02,91.02
no_overlap_short_no_benzene_no_alcohol,20,20,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",None,92.71,83.1,88.08,100.0,95.54,95.71,,-999,92.71,92.71
short_overlap_first_4,10,5,"[0, 1, 2, 3]",['standard_scaler'],93.2,95.69,95.97,96.34,79.87,97.74,,-999,93.2,93.2
long_overlap_first_4,60,30,"[0, 1, 2, 3]",None,93.33,89.47,91.49,97.96,89.47,97.96,,-999,93.33,93.33
long_overlap_first_4,60,30,"[0, 1, 2, 3]",['standard_scaler'],93.33,90.32,96.88,89.36,89.9,100.0,,-999,93.33,93.33
no_overlap_long_no_benzene,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['standard_scaler'],93.75,100.0,87.5,84.0,95.83,100.0,,-999,93.75,93.75
medium_overlap_no_benzene,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],94.34,98.58,94.95,90.55,99.06,88.06,,-999,94.34,94.34
medium_overlap_first_4,30,15,"[0, 1, 2, 3]",['standard_scaler'],94.73,93.36,98.99,94.53,93.9,93.03,,-999,94.73,94.73
no_overlap_short_first_4,20,20,"[0, 1, 2, 3]",None,95.44,88.97,98.03,97.4,96.77,95.68,,-999,95.44,95.44
no_overlap_short_no_benzene_no_alcohol,20,20,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['standard_scaler'],95.96,95.17,96.73,92.16,97.45,98.12,,-999,95.96,95.96
no_overlap_short_first_6,20,20,"[0, 1, 2, 3, 4, 5]",['standard_scaler'],96.35,94.44,99.34,91.5,96.79,99.39,,-999,96.35,96.35
medium_overlap_no_benzene_no_alcohol,30,15,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",None,96.58,92.89,91.92,100.0,98.59,99.5,,-999,96.58,96.58
